Seat4B,true,1490512006149
SoundC,48.55773214739296,1490512687542
Present,97,1490512687545
MoveFocus,GoTour,1490512694183
SoundC,44.808697341762915,1490512697553
Present,83,1490512697562
SoundC,42.56523641427832,1490512707565
Present,95,1490512707568
SoundRight,52.96571415471127,1490512716868
SoundC,44.808697341762915,1490512717570
Present,93,1490512717573
SoundC,44.808697341762915,1490512727574
Present,96,1490512727577
Seat5B,false,1490512732269
TotalSeatCount,1,1490512732269
SoundC,50.159038478285424,1490512737579
Present,80,1490512737582
Temperature,22.84,1490512741240
Humidity,26.35785788124592,1490512741252
Brightness,827.0,1490512741265
SoundC,48.55773214739296,1490512747584
Present,102,1490512747587
MoveFocus,GoTour,1490512754263
SoundC,50.159038478285424,1490512757589
Present,97,1490512757592
SoundC,42.56523641427832,1490512767594
Present,89,1490512767597
SoundRight,61.023021476191225,1490512776900
SoundC,44.808697341762915,1490512777600
Present,91,1490512777602
SoundC,51.62091662308819,1490512787605
Present,90,1490512787617
SoundC,42.56523641427832,1490512797620
Present,101,1490512797622
Temperature,22.84,1490512802131
Humidity,26.35785788124592,1490512802141
Brightness,827.0,1490512802150
SoundC,50.159038478285424,1490512807624
Present,93,1490512807627
MoveFocus,GoTour,1490512814388
SoundC,44.808697341762915,1490512817635
Present,98,1490512817638
SoundC,52.96571415471127,1490512827646
Present,95,1490512827649
SoundRight,65.8563679754536,1490512836933
SoundC,50.159038478285424,1490512837652
Present,108,1490512837655
SoundC,44.808697341762915,1490512847661
Present,114,1490512847663
Entrance,null,1490512853581
UserCount,5,1490512853581
SoundC,39.975350842500546,1490512857670
Present,88,1490512857672
Temperature,22.84,1490512863093
Humidity,26.35785788124592,1490512863104
Brightness,827.0,1490512863117
SoundC,48.55773214739296,1490512867674
Present,86,1490512867677
MoveFocus,GoTour,1490512874478
SoundC,44.808697341762915,1490512877683
Present,80,1490512877686
SoundC,51.62091662308819,1490512887693
Present,77,1490512887696
SoundRight,62.551438321825636,1490512896966
SoundC,46.78757012382582,1490512897698
Present,89,1490512897701
SoundC,48.55773214739296,1490512907703
Present,93,1490512907706
Exit,null,1490512914171
UserCount,4,1490512914172
SoundC,59.341519288975356,1490512917711
Present,97,1490512917714
Exit,null,1490512921240
UserCount,3,1490512921240
Exit,null,1490512921287
UserCount,2,1490512921287
Temperature,22.84,1490512923644
Humidity,26.35785788124592,1490512923655
Brightness,827.0,1490512923668
SoundC,48.55773214739296,1490512927718
Present,127,1490512927721
MoveFocus,GoTour,1490512934549
SoundC,44.808697341762915,1490512937726
Present,88,1490512937740
SoundC,44.808697341762915,1490512947745
Present,102,1490512947749
SoundRight,54.210802194865956,1490512956979
SoundC,48.55773214739296,1490512957753
Present,109,1490512957757
SoundC,52.96571415471127,1490512967761
Present,103,1490512967765
SoundC,52.96571415471127,1490512977776
Present,96,1490512977780
