,exp_id,accuracy,earliness,hm
0,basic_0.1,0.7247863213221232,0.008068241955091556,0.8373277386029562
1,basic_0.01,0.776068369547526,0.023672144239147503,0.864699125289917
2,basic_0.001,0.7948717872301737,0.045060755064090095,0.8673142989476522
3,basic_0.0001,0.8581196665763855,0.07916972786188126,0.8883101344108582
4,basic_0.00001,0.7914529840151469,0.05442736049493154,0.8614912430445353
5,cnn_0.1,0.9153846104939779,0.0862513283888499,0.9145594239234924
6,cnn_0.01,0.911965807278951,0.08659409234921138,0.9126724600791931
7,cnn_0.001,0.9068376024564108,0.08712183435757954,0.909834603468577
8,cnn_0.0001,0.9153846104939779,0.09024701515833537,0.912545382976532
9,cnn_0.00001,0.9051282008488973,0.11080064376195271,0.8966688911120096
10,attn_0.1,0.9213675061861674,0.08628794054190318,0.917451004187266
11,attn_0.01,0.9170940121014913,0.0865936353802681,0.9151856899261475
12,attn_0.001,0.9222221970558167,0.08816609779993693,0.9169590671857198
13,attn_0.0001,0.9230769077936808,0.09058076391617458,0.9161451657613119
14,attn_0.00001,0.9299145340919495,0.09897573292255402,0.9152279098828634
