,exp_id,accuracy,earliness,hm
0,basic_0.1,0.466612587372462,0.03773377711574236,0.6281862258911133
1,basic_0.01,0.6190862456957499,0.09485373397668202,0.7352261543273926
2,basic_0.001,0.7729115883509318,0.1694213698307673,0.8006570736567179
3,basic_0.0001,0.8142741322517395,0.23859240611394247,0.7869446674982706
4,basic_0.00001,0.8261692325274149,0.31144513686498004,0.751069446404775
5,cnn_0.1,0.8102189898490906,0.1874629557132721,0.8113465110460917
6,cnn_0.01,0.8088672558466593,0.194937601685524,0.8069503506024679
7,cnn_0.001,0.8215734163920084,0.21287359297275543,0.8039559523264567
8,cnn_0.0001,0.818869948387146,0.2340191106001536,0.791520377000173
9,cnn_0.00001,0.8231954574584961,0.2842615246772766,0.7656544049580892
10,attn_0.1,0.7999459306399027,0.18828279276688895,0.8057799537976583
11,attn_0.01,0.8061638275782267,0.1976433296998342,0.8042550484339396
12,attn_0.001,0.8067045211791992,0.21219089130560556,0.7970134615898132
13,attn_0.0001,0.8088672558466593,0.24929400285085043,0.7786900003751119
14,attn_0.00001,0.8048121134440104,0.3301786581675212,0.7310174107551575
