,exp_id,accuracy,earliness,hm
0,basic_0.1,0.4880110025405884,0.02635571298499902,0.6500774621963501
1,basic_0.01,0.6990688840548197,0.08852320909500122,0.791165292263031
2,basic_0.001,0.8276460965474447,0.15009664495786032,0.8386011123657227
3,basic_0.0001,0.8686705430348715,0.2077518254518509,0.8286968072255453
4,basic_0.00001,0.8110371232032776,0.4038766324520111,0.6802165806293488
5,cnn_0.1,0.8815657099088033,0.17416893939177194,0.8527014851570129
6,cnn_0.01,0.8755734364191691,0.1772938221693039,0.8482774496078491
7,cnn_0.001,0.8861716787020365,0.1848683108886083,0.8490286668141683
8,cnn_0.0001,0.882026751836141,0.20162670811017355,0.8379989862442017
9,cnn_0.00001,0.8788032730420431,0.20408976078033447,0.834822436173757
10,attn_0.1,0.8820273876190186,0.17442856232325235,0.8528172969818115
11,attn_0.01,0.8884807030359904,0.17690799633661905,0.8545275926589966
12,attn_0.001,0.8861754933993021,0.18750385443369547,0.847528080145518
13,attn_0.0001,0.8843325972557068,0.19958694279193878,0.840100367863973
14,attn_0.00001,0.8894034226735433,0.22333349287509918,0.8277876973152161
