,exp_id,accuracy,earliness,hm
0,basic_0.1,0.3830559055010478,0.006897565287848313,0.5513539413611094
1,basic_0.01,0.41587050755818683,0.015792690217494965,0.5833942294120789
2,basic_0.001,0.5139860212802887,0.031157162971794605,0.6694924632708231
3,basic_0.0001,0.4953051706155141,0.037806917602817215,0.6527907252311707
4,basic_0.00001,0.504645586013794,0.04022348144402107,0.6596882541974386
5,cnn_0.1,0.7288486162821451,0.06771176060040791,0.8176231582959493
6,cnn_0.01,0.7358744541803995,0.06802902867396672,0.8219322562217712
7,cnn_0.001,0.7358744541803995,0.06930635621150334,0.821082333723704
8,cnn_0.0001,0.7778653303782145,0.10266526291767757,0.8310048977533976
9,cnn_0.00001,0.7405528624852499,0.3667015954852104,0.6048431098461151
10,attn_0.1,0.7359072764714559,0.06782139341036479,0.8223585486412048
11,attn_0.01,0.7452969352404276,0.06863140563170116,0.8278656204541525
12,attn_0.001,0.7406349380811056,0.06985058014591534,0.8246367971102396
13,attn_0.0001,0.7500738501548767,0.08759018406271935,0.8224297960599264
14,attn_0.00001,0.7406185269355774,0.2565060257911682,0.7146798173586527
