,exp_id,accuracy,earliness,hm
0,basic_0.1,0.22339643041292825,0.007875682630886635,0.36366374293963116
1,basic_0.01,0.2406983027855555,0.017252217046916485,0.38593678673108417
2,basic_0.001,0.22345302005608877,0.026865218455592792,0.3633338411649068
3,basic_0.0001,0.2516198406616847,0.03138623324533304,0.39945635199546814
4,basic_0.00001,0.24293354153633118,0.03265085940559705,0.3877243995666504
5,cnn_0.1,0.35142743587493896,0.07328222195307414,0.5083866119384766
6,cnn_0.01,0.34059078494707745,0.07528004050254822,0.497093786795934
7,cnn_0.001,0.3644568920135498,0.08055554081996281,0.5216363072395325
8,cnn_0.0001,0.3644285996754964,0.09291332711776097,0.5195893148581187
9,cnn_0.00001,0.3492770890394847,0.3822664941350619,0.36227796723445255
10,attn_0.1,0.38611605763435364,0.07242301603158315,0.5452600518862406
11,attn_0.01,0.42738307515780133,0.07277966787417729,0.5848302245140076
12,attn_0.001,0.43814899524052936,0.07242890447378159,0.594653864701589
13,attn_0.0001,0.4034603734811147,0.07247630506753922,0.5623140533765157
14,attn_0.00001,0.37745805581410724,0.07244784633318584,0.5365065336227417
