Bright,Existence,Presentation,SeatLeft,SeatCenter,SeatRight,SeatPresent,Light,SoundCenter,SoundLeft,SoundRight,Projector,Screen,Whiteboard 
0,0,10,9,5,39,1,1,1,0,16,20,0,0,Presentation24
0,0,20,3,1,5,3,3,1,0,9,10,0,0,Presentation25
0,20,20,11,9,26,14,3,12,0,29,20,0,0,Presentation26
0,15,40,11,10,6,1,0,3,0,4,10,0,0,Presentation27
0,7,20,4,6,4,1,1,1,0,4,10,0,0,Presentation28
0,0,20,21,12,79,22,0,16,0,30,10,0,0,Presentation29
0,0,70,35,6,21,14,3,7,0,39,10,0,0,Presentation30
0,0,10,7,1,2,4,3,0,0,11,10,0,0,Presentation31
0,19,10,59,23,52,16,4,0,0,30,10,0,0,Presentation32
0,0,10,6,4,3,3,1,0,0,4,10,0,0,Presentation33
0,0,10,21,6,32,12,1,0,0,11,10,0,0,Presentation34
0,0,10,7,2,16,2,1,0,0,11,10,0,0,Presentation35
0,0,10,35,5,30,15,3,0,0,15,10,0,0,Presentation36
0,0,10,3,3,5,2,1,0,0,24,10,0,0,Presentation37
0,0,10,35,13,20,3,0,0,0,17,20,0,0,Presentation38
