Presentation,0,1.49680698E12,1.49680711E12
Seat Occupy,1,1.49680698E12,1.49680803E12
Sound,11,1.49680698E12,1.49680882E12
Sound,31,1.49680698E12,1.49680711E12
Seat Occupy,9,1.49680711E12,1.49680737E12
Seat Occupy,5,1.49680711E12,1.49680751E12
Seat Occupy,6,1.49680711E12,1.49680869E12
Seat Occupy,7,1.49680711E12,1.49680869E12
Seat Occupy,8,1.49680711E12,1.49680882E12
Light,2,1.49680711E12,1.49680882E12
Sound,32,1.49680711E12,1.49680724E12
Sound,31,1.49680724E12,1.49680737E12
Presentation,0,1.49680737E12,1.49680751E12
Seat Occupy,9,1.49680737E12,1.49680751E12
Sound,32,1.49680737E12,1.49680751E12
Seat Occupy,5,1.49680751E12,1.49680764E12
Seat Occupy,9,1.49680751E12,1.49680882E12
Sound,32,1.49680751E12,1.49680777E12
Seat Occupy,5,1.49680764E12,1.49680777E12
Presentation,0,1.49680777E12,1.4968079E12
Seat Occupy,5,1.49680777E12,1.4968079E12
Sound,31,1.49680777E12,1.49680816E12
Sound,32,1.49680816E12,1.49680829E12
Sound,31,1.49680829E12,1.49680842E12
Seat Occupy,5,1.49680842E12,1.49680869E12
Sound,31,1.49680842E12,1.49680855E12
Sound,32,1.49680855E12,1.49680869E12
Presentation,0,1.49680869E12,1.49680882E12
Sound,31,1.49680869E12,1.49680882E12
