Brightiness, Existence, Presentation, SeatLeft, SeatCenter, SeatRight, SeatPresent, Light, SoundCenter, SoundLeft, SoundRight, Projector, 
1,4,0,9,1,9,1,3,24,1,6,0,0,0,Chatting1
1,2,0,12,3,11,2,0,8,1,0,0,0,0,Chatting2
1,3,0,2,0,2,1,0,4,1,1,0,0,0,Chatting3
0,1,0,4,0,2,0,1,1,2,3,0,0,0,Chatting4
0,1,0,1,0,1,0,0,1,0,0,0,0,0,Chatting5
0,1,0,5,2,5,0,1,0,0,1,0,0,0,Chatting6
0,11,0,0,0,7,0,0,0,0,0,0,0,0,Chatting7
0,2,0,3,0,2,1,0,1,0,2,0,0,0,Chatting8
0,3,0,2,1,1,0,0,2,0,0,0,0,0,Chatting9
0,1,0,4,3,6,0,0,0,0,0,0,0,0,Chatting10
0,0,0,3,1,6,1,3,9,0,0,0,0,0,Chatting11
0,2,0,1,0,0,0,4,1,0,0,0,0,0,Chatting12
0,19,0,8,2,3,0,1,13,0,12,0,0,0,Chatting13
0,1,0,8,2,28,11,6,0,0,5,1,0,0,Discussion1
0,1,0,7,4,4,13,2,0,0,4,1,0,0,Discussion2
0,7,0,9,0,6,2,0,18,0,3,1,0,0,Discussion3
0,0,0,9,1,16,1,0,2,2,5,1,0,0,Discussion4
0,3,0,5,0,4,1,3,19,0,4,1,0,0,Discussion5
3,3,1,1,1,2,0,0,6,1,0,1,0,0,Presentation1
1,7,3,7,2,14,0,0,3,0,4,1,0,0,Presentation2
0,0,1,3,1,3,1,0,10,0,0,1,0,0,Presentation3
0,0,5,6,0,3,0,0,4,0,1,1,0,0,Presentation4
0,18,3,7,1,7,1,0,1,0,2,1,0,0,Presentation5
0,0,2,22,5,9,1,0,16,1,4,1,0,0,Presentation6
0,1,2,6,5,24,1,0,13,0,15,1,0,0,Presentation7
0,11,2,13,3,9,1,1,1,0,1,1,0,0,Presentation8
0,0,3,4,1,2,0,0,9,0,3,1,0,0,Presentation9
0,5,4,5,2,8,1,0,18,0,14,1,0,0,Presentation10
0,24,4,19,8,15,1,0,10,0,7,1,0,0,Presentation11
0,14,1,7,2,20,1,1,1,0,1,1,0,0,Presentation12
0,0,2,22,3,6,1,0,8,0,10,1,0,0,Presentation13
0,0,1,15,5,4,0,0,1,0,2,1,0,0,Presentation14
1,5,0,0,0,0,0,1,1,7,0,0,0,0,GroupStudy1
0,1,0,12,1,3,1,4,3,15,7,0,0,0,GroupStudy2
0,1,0,0,0,0,0,10,5,12,2,0,0,0,GroupStudy3
0,1,0,0,0,0,0,0,87,6,57,0,0,0,GroupStudy4
1,1,0,0,0,0,0,1,1,1,0,0,0,0,NULL1
1,1,0,0,0,0,0,3,1,1,0,0,0,0,NULL2
1,1,0,0,0,0,0,1,1,1,0,0,0,0,NULL3
1,11,0,0,0,0,0,2,7,1,0,0,0,0,NULL4
1,0,0,0,0,0,0,0,1,4,0,0,0,0,NULL5
1,1,0,0,0,0,0,0,1,1,0,0,0,0,NULL6
1,7,0,0,0,0,0,0,1,2,0,0,0,0,NULL7
1,3,0,0,0,0,0,1,1,1,2,0,0,0,NULL8
1,18,0,0,0,0,0,4,1,16,8,0,0,0,NULL9
0,9,0,2,1,6,1,7,1,3,0,0,0,0,NULL10
0,1,0,10,2,5,2,12,2,3,29,0,0,0,NULL11
25,2,0,7,3,8,1,4,1,12,3,0,0,0,NULL12
