Chatting 23,11,7,0.124304267,0.142857143,1.867346939,-0.496582996,3,3,0.385416667,0.375,1.71875,0.036680985,55,8,0.222222222,0.25,13.22222222,-0.231746588,3,2,0.428571429,0.416666667,1.702380952,-0.624463748,0.036680985,D,Chatting 23<-> Discussion6,
Chatting 24,9,8,0.124716553,0.12755102,1.632653061,-0.808874439,3,2,0.385416667,0.40625,1.5625,-0.320215089,55,8,0.222222222,0.25,13.22222222,-0.231746588,4,3,0.422619048,0.444444444,2.357142857,0.79751415,0.79751415,P,Chatting 24<-> Presentation23,
Chatting 25,15,13,0.126530612,0.144427002,2.836734694,0.793316442,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 25,
Chatting 26,5,5,0.102040816,0.126530612,0.826530612,-1.881527656,3,2,0.385416667,0.4375,1.59375,-0.248835874,0,0,NaN,NaN,#VALUE!,#VALUE!,2,0,0.428571429,NaN,#VALUE!,#VALUE!,#VALUE!,D,Chatting 26<-> Discussion12,
Chatting 27,16,13,0.130102041,0.144427002,3.020408163,1.03771844,2,3,0.421875,0.395833333,1.4375,-0.605731948,57,6,0.222222222,0.240740741,13.38888889,-0.16513679,3,4,0.444444444,0.476190476,2.285714286,0.642389288,1.03771844,C,Chatting 27,
Chatting 28,14,13,0.126822157,0.144427002,2.714285714,0.630381776,6,1,0.328125,0.375,2.15625,1.035989993,53,8,0.222222222,0.25,12.77777778,-0.409372716,1,4,0.428571429,0.482142857,1.392857143,-1.296671482,1.035989993,D,Chatting 28<-> Discussion17,
Chatting 29,13,13,0.130298273,0.144427002,2.632653061,0.521758665,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 29,
Chatting 30,16,13,0.130102041,0.144427002,3.020408163,1.03771844,6,3,0.328125,0.395833333,2.5625,1.963919785,55,8,0.222222222,0.25,13.22222222,-0.231746588,2,5,0.428571429,0.466666667,2.023809524,0.073598129,1.963919785,D,Chatting 30<-> Discussion19,
Chatting 31,16,10,0.125,0.148979592,2.744897959,0.671115442,0,0,NaN,NaN,#VALUE!,#VALUE!,57,7,0.222222222,0.238095238,13.5,-0.120730258,0,1,NaN,0.428571429,#VALUE!,#VALUE!,#VALUE!,C,Chatting 31,
Chatting 32,15,13,0.126530612,0.144427002,2.836734694,0.793316442,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 32,
Chatting 33,17,11,0.12244898,0.131725417,2.806122449,0.752582775,3,3,0.385416667,0.395833333,1.75,0.1080602,71,7,0.222222222,0.253968254,16.66666667,1.144855899,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Chatting 33<-> Discussion20,
Chatting 34,8,9,0.135204082,0.136054422,1.693877551,-0.727407106,3,3,0.385416667,0.395833333,1.75,0.1080602,74,7,0.222222222,0.253968254,17.33333333,1.41129509,2,4,0.452380952,0.476190476,1.857142857,-0.288359882,0.1080602,D,Chatting 34<-> Presentation20,
Chatting 35,9,10,0.12244898,0.128571429,1.744897959,-0.659517662,3,3,0.385416667,0.395833333,1.75,0.1080602,54,7,0.222222222,0.253968254,12.88888889,-0.364966184,2,4,0.452380952,0.458333333,1.821428571,-0.365922312,0.1080602,D,Chatting 35<-> Discussion22,
Chatting 36,5,5,0.114285714,0.106122449,0.836734694,-1.867949767,3,1,0.385416667,0.375,1.34375,-0.819869592,0,0,NaN,NaN,#VALUE!,#VALUE!,2,2,0.44047619,0.5,1.380952381,-1.322525626,-0.819869592,D,Chatting 36<-> Discussion25,
Chatting 37,16,13,0.130102041,0.144427002,3.020408163,1.03771844,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 37,
Chatting 38,4,8,0.137755102,0.132653061,1.081632653,-1.542080436,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 38,
Chatting 39,5,10,0.142857143,0.128571429,1.357142857,-1.175477437,3,3,0.385416667,0.395833333,1.75,0.1080602,38,8,0.222222222,0.25,9.444444444,-1.741568671,3,3,0.420634921,0.468253968,1.964285714,-0.055672589,0.1080602,D,Chatting 39<-> Discussion,
Chatting 40,16,13,0.130102041,0.144427002,3.020408163,1.03771844,3,2,0.385416667,0.40625,1.5625,-0.320215089,55,8,0.222222222,0.25,13.22222222,-0.231746588,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.262888734,P,Chatting 40<-> Presentation26,
Chatting 41,15,13,0.129251701,0.144427002,2.87755102,0.847627997,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 41,
Chatting 42,16,13,0.130102041,0.144427002,3.020408163,1.03771844,2,0,0.390625,NaN,#VALUE!,#VALUE!,55,8,0.222222222,0.25,13.22222222,-0.231746588,2,5,0.428571429,0.466666667,2.023809524,0.073598129,#VALUE!,C,Chatting 42,
Chatting 43,10,9,0.116326531,0.129251701,1.744897959,-0.659517662,7,3,0.325892857,0.395833333,2.875,2.677711934,49,6,0.222222222,0.259259259,11.66666667,-0.853438034,3,5,0.452380952,0.466666667,2.523809524,1.15947216,2.677711934,D,Chatting 43<-> Discussion,
Chatting 44,1,6,0.102040816,0.108843537,0.428571429,-2.41106532,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 44,
Chatting 45,6,8,0.129251701,0.132653061,1.306122449,-1.243366882,3,1,0.385416667,0.375,1.34375,-0.819869592,0,0,NaN,NaN,#VALUE!,#VALUE!,1,4,0.428571429,0.482142857,1.392857143,-1.296671482,-0.819869592,D,Chatting 45<-> Discussion,
Chatting 46,8,9,0.135204082,0.133786848,1.683673469,-0.740984995,3,1,0.385416667,0.3125,1.3125,-0.891248807,43,8,0.222222222,0.25,10.55555556,-1.297503353,1,4,0.428571429,0.44047619,1.30952381,-1.477650487,-0.740984995,C,Chatting 46,
Chatting 47,16,13,0.130102041,0.144427002,3.020408163,1.03771844,7,1,0.325892857,0.375,2.46875,1.749782141,0,0,NaN,NaN,#VALUE!,#VALUE!,2,3,0.44047619,0.476190476,1.595238095,-0.857151041,1.749782141,D,Chatting 47<-> Discussion,
Chatting 49,15,13,0.131972789,0.144427002,2.918367347,0.901939552,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Chatting 49,
Discussion 1,16,13,0.130102041,0.144427002,3.020408163,1.03771844,0,0,NaN,NaN,#VALUE!,#VALUE!,70,8,0.222222222,0.25,16.55555556,1.100449367,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Discussion 1<-> Chatting16,
Discussion 3,15,13,0.131972789,0.144427002,2.918367347,0.901939552,3,2,0.385416667,0.40625,1.5625,-0.320215089,55,8,0.222222222,0.25,13.22222222,-0.231746588,3,3,0.428571429,0.444444444,1.952380952,-0.081526733,0.901939552,C,Discussion 3<-> Chatting17,
Discussion 4,12,9,0.12414966,0.136054422,2.102040816,-0.184291553,3,3,0.385416667,0.395833333,1.75,0.1080602,41,7,0.222222222,0.253968254,10,-1.519536012,3,1,0.428571429,0.404761905,1.488095238,-1.089838333,0.1080602,D,Discussion 4,
Discussion 5,16,13,0.130102041,0.144427002,3.020408163,1.03771844,1,3,0.46875,0.395833333,1.0625,-1.462282526,57,7,0.222222222,0.238095238,13.5,-0.120730258,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.262888734,P,Discussion 5<-> Presentation2,
Discussion 6,12,12,0.129251701,0.142857143,2.408163265,0.223045111,1,3,0.46875,0.395833333,1.0625,-1.462282526,76,8,0.222222222,0.25,17.88888889,1.63332775,2,4,0.416666667,0.44047619,1.714285714,-0.598609605,0.223045111,C,Discussion 6<-> Chatting23,
