Chatting 27,25.0,29.0,4.19327731092437,0.0,2.0,19.0,4.980769230769231,0.0,2.0,13.0,3.89922480620155,0.0,11.0,15.0,7.15,0.0,12.0,18.0,7.482758620689655,0.0,
Chatting 28,92.0,124.0,14.050420168067227,0.0,74.0,141.0,46.15384615384615,0.0,27.0,90.0,28.875968992248062,0.0,30.0,93.0,30.2,0.0,175.0,100.0,62.12931034482759,0.0,
Chatting 29,9.0,23.0,2.1260504201680672,0.0,7.0,21.0,6.461538461538462,0.0,1.0,7.0,2.2868217054263567,0.0,0.0,10.0,2.65,0.0,0.0,15.0,4.112068965517241,0.0,
Chatting 30,107.0,106.0,13.3109243697479,0.0,65.0,129.0,41.96153846153846,0.0,13.0,73.0,21.3953488372093,0.0,29.0,72.0,25.25,0.0,141.0,88.0,52.19827586206897,0.0,
Chatting 31,0.0,5.0,0.7310924369747899,0.0,0.0,3.0,0.9230769230769231,0.0,0.0,3.0,1.1395348837209303,0.0,0.0,2.0,0.675,0.0,1.0,2.0,0.8275862068965517,0.0,
Chatting 32,29.0,56.0,6.067226890756302,0.0,33.0,73.0,23.653846153846153,0.0,28.0,58.0,21.224806201550386,0.0,5.0,40.0,11.15,0.0,30.0,34.0,15.413793103448276,0.0,
Chatting 33,24.0,52.0,5.798319327731092,0.0,16.0,53.0,15.942307692307692,0.0,4.0,35.0,10.565891472868216,0.0,7.0,34.0,10.825,0.0,37.0,39.0,18.224137931034484,0.0,
Chatting 34,14.0,14.0,1.8991596638655461,0.0,0.0,12.0,2.8076923076923075,0.0,0.0,5.0,1.310077519379845,0.0,0.0,4.0,1.0,0.0,3.0,10.0,3.3189655172413794,0.0,
Chatting 35,40.0,62.0,6.697478991596639,0.0,24.0,78.0,22.692307692307693,0.0,7.0,42.0,12.922480620155039,0.0,7.0,53.0,15.675,0.0,99.0,55.0,35.12931034482759,0.0,
Chatting 36,16.0,69.0,5.453781512605042,0.0,53.0,90.0,31.365384615384617,0.0,26.0,69.0,23.674418604651162,0.0,18.0,65.0,20.5,0.0,29.0,40.0,16.25862068965517,0.0,
Chatting 37,4.0,3.0,0.5378151260504201,0.0,0.0,2.0,0.40384615384615385,0.0,0.0,1.0,0.2713178294573643,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551724,0.0,
Chatting 38,1.0,1.0,0.226890756302521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,
Chatting 39,9.0,27.0,2.596638655462185,0.0,10.0,29.0,9.538461538461538,0.0,3.0,21.0,7.0,0.0,1.0,18.0,5.15,0.0,1.0,12.0,3.706896551724138,0.0,
Chatting 40,11.0,25.0,2.697478991596639,0.0,7.0,27.0,7.903846153846154,0.0,5.0,21.0,7.170542635658915,0.0,0.0,15.0,3.875,0.0,7.0,14.0,5.327586206896552,0.0,
Chatting 41,1.0,1.0,0.33613445378151263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23255813953488372,0.0,0.0,1.0,0.3,0.0,0.0,1.0,0.3448275862068966,0.0,
Chatting 42,1.0,0.0,0.05042016806722689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chatting 43,15.0,19.0,3.319327731092437,0.0,1.0,12.0,3.1923076923076925,0.0,0.0,10.0,3.062015503875969,0.0,1.0,9.0,2.85,0.0,2.0,14.0,4.758620689655173,0.0,
Chatting 44,6.0,10.0,2.226890756302521,0.0,0.0,1.0,0.23076923076923078,0.0,0.0,9.0,2.565891472868217,0.0,3.0,5.0,2.625,0.0,0.0,5.0,1.543103448275862,0.0,
Chatting 45,3.0,11.0,1.5126050420168067,0.0,0.0,6.0,1.4807692307692308,0.0,0.0,8.0,2.4263565891472867,0.0,20.0,8.0,7.625,0.0,0.0,4.0,1.4051724137931034,0.0,
Chatting 46,132.0,48.0,13.84873949579832,0.0,5.0,19.0,5.9423076923076925,0.0,2.0,35.0,9.875968992248062,0.0,95.0,34.0,31.675,0.0,0.0,17.0,4.939655172413793,0.0,
