UserPresence,present,1490699702534
SoundLeft,48.55773214739296,1490700365584
SoundC,54.210802194865956,1490700370245
Present,92,1490700370248
SoundC,51.62091662308819,1490700380251
Present,103,1490700380253
MoveFocus,GoTour,1490700384280
SoundC,50.159038478285424,1490700390255
Present,106,1490700390258
SoundC,39.975350842500546,1490700400260
Present,99,1490700400263
SoundC,50.159038478285424,1490700410265
Present,92,1490700410268
SoundRight,54.210802194865956,1490700419065
SoundC,50.159038478285424,1490700420270
Present,85,1490700420273
SoundLeft,52.96571415471127,1490700425593
SoundC,61.023021476191225,1490700430275
Present,101,1490700430278
SoundC,61.80460425887306,1490700440280
Present,112,1490700440283
MoveFocus,GoTour,1490700444340
SoundC,50.159038478285424,1490700450286
Present,107,1490700450289
SoundC,46.78757012382582,1490700460291
Present,102,1490700460293
SoundC,48.55773214739296,1490700470296
Present,106,1490700470299
SoundRight,52.96571415471127,1490700479079
SoundC,52.96571415471127,1490700480301
Present,96,1490700480304
SoundLeft,50.159038478285424,1490700485608
SoundC,46.78757012382582,1490700490306
Present,90,1490700490309
SoundC,48.55773214739296,1490700500311
Present,107,1490700500314
MoveFocus,GoTour,1490700504405
SoundC,58.433135904413454,1490700510316
Present,107,1490700510319
SoundC,48.55773214739296,1490700520321
Present,103,1490700520324
SoundC,44.808697341762915,1490700530326
Present,103,1490700530329
SoundRight,57.472817393488484,1490700539092
SoundC,52.96571415471127,1490700540331
Present,98,1490700540334
SoundLeft,50.159038478285424,1490700545613
SoundC,52.96571415471127,1490700550336
Present,87,1490700550339
SoundC,50.159038478285424,1490700560341
Present,100,1490700560344
MoveFocus,GoTour,1490700564475
SoundC,58.433135904413454,1490700570346
Present,105,1490700570349
SoundC,46.78757012382582,1490700580351
Present,98,1490700580354
SoundC,39.975350842500546,1490700590356
Present,108,1490700590359
SoundRight,50.159038478285424,1490700599105
SoundC,50.159038478285424,1490700600362
Present,102,1490700600364
SoundLeft,61.023021476191225,1490700605621
SoundC,54.210802194865956,1490700610367
Present,90,1490700610369
SoundC,50.159038478285424,1490700620372
Present,106,1490700620374
MoveFocus,GoTour,1490700624545
SoundC,50.159038478285424,1490700630377
Present,102,1490700630379
SoundC,46.78757012382582,1490700640382
Present,105,1490700640385
SoundC,56.45426312235056,1490700650387
Present,118,1490700650390
SoundRight,74.55832985633069,1490700659128
SoundC,46.78757012382582,1490700660392
Present,95,1490700660395
SoundLeft,61.80460425887306,1490700665634
SoundC,50.159038478285424,1490700670398
Present,103,1490700670400
SoundC,50.159038478285424,1490700680403
Present,100,1490700680406
MoveFocus,GoTour,1490700684620
SoundC,44.808697341762915,1490700690408
Present,108,1490700690411
SoundC,44.808697341762915,1490700700413
Present,102,1490700700416
SoundC,48.55773214739296,1490700710419
Present,117,1490700710421
SoundRight,74.19700410241327,1490700719144
SoundC,55.369951428718224,1490700720424
Present,92,1490700720427
SoundLeft,57.472817393488484,1490700725667
SoundC,44.808697341762915,1490700730429
Present,102,1490700730432
SoundC,46.78757012382582,1490700740434
Present,102,1490700740437
MoveFocus,GoTour,1490700744760
SoundC,50.159038478285424,1490700750439
Present,105,1490700750449
SoundC,66.44593723960276,1490700760451
Present,117,1490700760468
SoundC,65.8563679754536,1490700770478
Present,116,1490700770481
SoundRight,57.472817393488484,1490700779160
SoundC,50.159038478285424,1490700780483
Present,88,1490700780486
SoundLeft,57.472817393488484,1490700785674
SoundC,56.45426312235056,1490700790488
Present,95,1490700790491
SoundC,42.56523641427832,1490700800493
Present,99,1490700800496
MoveFocus,GoTour,1490700804840
SoundC,46.78757012382582,1490700810498
Present,109,1490700810501
SoundC,52.96571415471127,1490700820503
Present,112,1490700820506
SoundC,50.159038478285424,1490700830508
Present,105,1490700830511
SoundRight,56.45426312235056,1490700839173
SoundC,44.808697341762915,1490700840513
Present,101,1490700840530
SoundLeft,50.159038478285424,1490700845681
SoundC,50.159038478285424,1490700850540
Present,105,1490700850543
SoundC,51.62091662308819,1490700860545
Present,121,1490700860548
MoveFocus,GoTour,1490700864925
SoundC,48.55773214739296,1490700870551
Present,97,1490700870554
SoundC,50.159038478285424,1490700880556
Present,94,1490700880570
SoundC,39.975350842500546,1490700890580
Present,102,1490700890583
SoundRight,52.96571415471127,1490700899203
SoundC,48.55773214739296,1490700900585
Present,99,1490700900588
SoundLeft,55.369951428718224,1490700905686
SoundC,51.62091662308819,1490700910590
Present,96,1490700910593
Seat6B,false,1490700916665
TotalSeatCount,1,1490700916665
SoundC,39.975350842500546,1490700920595
Present,103,1490700920598
MoveFocus,GoTour,1490700925071
SoundC,46.78757012382582,1490700930600
Present,99,1490700930603
SoundC,42.56523641427832,1490700940606
Present,94,1490700940608
SoundC,48.55773214739296,1490700950610
Present,117,1490700950613
SoundRight,52.96571415471127,1490700959223
SoundC,44.808697341762915,1490700960615
Present,117,1490700960618
SoundLeft,51.62091662308819,1490700965691
SoundC,52.96571415471127,1490700970620
Present,99,1490700970623
SoundC,55.369951428718224,1490700980625
Present,108,1490700980628
MoveFocus,GoTour,1490700985146
SoundC,60.20329792798059,1490700990630
Present,96,1490700990633
SoundC,57.472817393488484,1490701000635
Present,95,1490701000638
SoundC,46.78757012382582,1490701010640
Present,100,1490701010643
SoundRight,60.20329792798059,1490701019244
SoundC,52.96571415471127,1490701020645
Present,103,1490701020648
SoundLeft,51.62091662308819,1490701025699
SoundC,50.159038478285424,1490701030650
Present,97,1490701030660
SoundC,51.62091662308819,1490701040671
Present,102,1490701040674
MoveFocus,GoTour,1490701045226
SoundC,44.808697341762915,1490701050676
Present,106,1490701050679
SoundC,44.808697341762915,1490701060681
Present,99,1490701060683
SoundC,50.159038478285424,1490701070686
Present,105,1490701070689
SoundRight,54.210802194865956,1490701079265
SoundC,46.78757012382582,1490701080691
Present,105,1490701080693
SoundLeft,51.62091662308819,1490701085706
SoundC,46.78757012382582,1490701090695
Present,102,1490701090698
SoundC,63.26648240367583,1490701100701
Present,108,1490701100703
MoveFocus,GoTour,1490701105376
SoundC,42.56523641427832,1490701110705
Present,97,1490701110708
SoundC,46.78757012382582,1490701120711
Present,102,1490701120713
SoundC,56.45426312235056,1490701130715
Present,101,1490701130718
SoundRight,75.25847282855663,1490701139279
SoundC,51.62091662308819,1490701140721
Present,99,1490701140724
SoundLeft,50.159038478285424,1490701145715
SoundC,42.56523641427832,1490701150726
Present,114,1490701150735
SoundC,51.62091662308819,1490701160746
Present,94,1490701160749
MoveFocus,GoTour,1490701165506
SoundC,44.808697341762915,1490701170751
Present,95,1490701170754
SoundC,61.023021476191225,1490701180756
Present,107,1490701180759
SoundC,44.808697341762915,1490701190761
Present,94,1490701190764
SoundRight,70.0787016850011,1490701199293
SoundC,54.210802194865956,1490701200772
Present,94,1490701200775
SoundLeft,50.159038478285424,1490701205723
SoundC,55.369951428718224,1490701210777
Present,109,1490701210780
SoundC,51.62091662308819,1490701220782
Present,96,1490701220785
MoveFocus,GoTour,1490701225571
SoundC,60.20329792798059,1490701230787
Present,103,1490701230790
SoundC,70.0787016850011,1490701240792
Present,103,1490701240795
SoundC,51.62091662308819,1490701250798
Present,111,1490701250812
SoundRight,67.01551720930587,1490701259310
SoundC,48.55773214739296,1490701260821
Present,94,1490701260834
SoundLeft,46.78757012382582,1490701265732
SoundC,44.808697341762915,1490701270844
Present,100,1490701270847
SoundC,39.975350842500546,1490701280854
Present,106,1490701280857
MoveFocus,GoTour,1490701285686
SoundC,44.808697341762915,1490701290864
Present,113,1490701290866
SoundC,61.80460425887306,1490701300871
Present,93,1490701300874
SoundC,48.55773214739296,1490701310876
Present,91,1490701310880
SoundRight,65.24535518573873,1490701319327
SoundC,46.78757012382582,1490701320885
Present,99,1490701320887
SoundLeft,62.551438321825636,1490701325737
SoundC,48.55773214739296,1490701330892
Present,100,1490701330896
SoundC,44.808697341762915,1490701340900
Present,94,1490701340904
MoveFocus,GoTour,1490701345801
SoundC,55.369951428718224,1490701350908
Present,104,1490701350910
SoundC,46.78757012382582,1490701360914
Present,102,1490701360917
SoundC,55.369951428718224,1490701370921
Present,100,1490701370924
SoundRight,73.06392314376754,1490701379346
SoundC,44.808697341762915,1490701380934
Present,101,1490701380938
SoundLeft,50.159038478285424,1490701385742
SoundC,54.210802194865956,1490701390947
Present,111,1490701390950
Seat2B,false,1490701400729
TotalSeatCount,1,1490701400730
SoundC,51.62091662308819,1490701400959
Present,117,1490701400962
MoveFocus,GoTour,1490701405906
SoundC,50.159038478285424,1490701410965
Present,100,1490701410968
SoundC,52.96571415471127,1490701420976
Present,90,1490701420979
SoundC,44.808697341762915,1490701430982
Present,101,1490701430985
SoundRight,50.159038478285424,1490701439387
SoundC,61.80460425887306,1490701440993
Present,105,1490701440996
SoundLeft,52.96571415471127,1490701446059
SoundC,46.78757012382582,1490701451018
Present,103,1490701451021
SoundC,44.808697341762915,1490701461031
Present,107,1490701461034
MoveFocus,GoTour,1490701465996
SoundC,46.78757012382582,1490701471044
Present,108,1490701471048
SoundC,58.433135904413454,1490701481058
Present,105,1490701481061
SoundC,52.96571415471127,1490701491071
Present,102,1490701491074
SoundRight,55.369951428718224,1490701499419
SoundC,54.210802194865956,1490701501076
Present,108,1490701501079
SoundLeft,59.341519288975356,1490701506541
SoundC,57.472817393488484,1490701511082
Present,114,1490701511084
SoundC,61.80460425887306,1490701521094
Present,91,1490701521097
MoveFocus,GoTour,1490701526136
SoundC,57.472817393488484,1490701531105
Present,96,1490701531109
