sensor1_Brightness,109.0,1527220914966
seat2AOccupied,false,1527220915838
totalSeatCount,2,1527220915838
SoundCenter0,67.35172034673694,1527220916174
SoundCenter1,61.89664195973807,1527220916176
SoundCenter2,61.706280262793925,1527220916177
SoundWall0,64.72927017790623,1527220916922
SoundWall1,66.65126692730479,1527220916930
SoundWall2,64.93404741123148,1527220916944
SoundC,74.55832985633069,1527220917517
SoundC,74.55832985633069,1527220917517
Present,109,1527220917520
Present,109,1527220917520
Mtest1,false,1527220920838
sensor0_Temperature,26.6,1527220921270
sensor0_Humidity,35.36020916510618,1527220921271
sensor0_Brightness,149.0,1527220921272
sensor1_Temperature,24.25,1527220921274
sensor1_Humidity,35.730168806908644,1527220921275
sensor1_Brightness,106.0,1527220921276
SoundWindow0,68.70835628452174,1527220923865
SoundWindow1,58.040177923495555,1527220923865
Mtest8,false,1527220925838
SoundCenter0,67.9601376878108,1527220926174
SoundCenter1,62.16567804493059,1527220926176
SoundCenter2,61.993405205099606,1527220926177
SoundWall0,64.28446857687136,1527220926922
SoundWall1,67.33970690717427,1527220926931
SoundWall2,66.27040900691391,1527220926945
SoundC,78.9387917919758,1527220927525
SoundC,78.9387917919758,1527220927525
Present,95,1527220927528
Present,95,1527220927528
sensor0_Temperature,26.6,1527220927615
sensor0_Humidity,35.236889284505345,1527220927616
sensor0_Brightness,131.0,1527220927616
sensor1_Temperature,24.25,1527220927617
sensor1_Humidity,35.730168806908644,1527220927617
sensor1_Brightness,106.0,1527220927618
tiltAircon1_Pitch,162.66,1527220931838
tiltAircon1_Roll,-179.82,1527220931838
SoundWindow0,69.0476112514932,1527220933865
SoundWindow1,58.74943837497556,1527220933865
sensor0_Temperature,26.6,1527220933903
sensor0_Humidity,35.236889284505345,1527220933904
sensor0_Brightness,131.0,1527220933904
sensor1_Temperature,24.25,1527220933905
sensor1_Humidity,35.730168806908644,1527220933905
sensor1_Brightness,106.0,1527220933906
SoundCenter0,68.03631588385443,1527220936174
