Existence,0,1.49026256E12,1.54097641E12
Seat Occupy,6,1.49026256E12,1.53992456E12
Seat Occupy,11,1.49026256E12,1.53992836E12
Seat Occupy,5,1.49026256E12,1.53993085E12
Light,2,1.49026256E12,1.53993098E12
Presentation,0,1.53992456E12,1.53992482E12
Sound,12,1.53992456E12,1.54097641E12
Sound,21,1.53992456E12,1.53992469E12
Sound,32,1.53992456E12,1.53992561E12
Seat Occupy,8,1.53992469E12,1.53992692E12
Sound,22,1.53992469E12,1.53992574E12
Projector,0,1.53992469E12,1.53993098E12
Seat Occupy,7,1.53992482E12,1.53992508E12
Seat Occupy,10,1.53992482E12,1.53992521E12
Presentation,0,1.53992495E12,1.53992508E12
Seat Occupy,9,1.53992495E12,1.53992652E12
Seat Occupy,7,1.53992508E12,1.53992744E12
Seat Occupy,3,1.53992508E12,1.53992941E12
Seat Occupy,1,1.53992508E12,1.53993072E12
Seat Occupy,2,1.53992508E12,1.54097641E12
Presentation,0,1.53992521E12,1.53992548E12
Seat Occupy,4,1.53992521E12,1.53992548E12
Seat Occupy,4,1.53992561E12,1.53992626E12
Sound,33,1.53992561E12,1.53992652E12
Sound,22,1.53992574E12,1.53992587E12
Sound,23,1.53992587E12,1.53992626E12
Presentation,0,1.53992626E12,1.53992718E12
Sound,22,1.53992626E12,1.54097641E12
Seat Occupy,4,1.53992639E12,1.53992665E12
Seat Occupy,10,1.53992652E12,1.53992692E12
Sound,32,1.53992652E12,1.53992823E12
Seat Occupy,4,1.53992665E12,1.53993098E12
Seat Occupy,10,1.53992692E12,1.53993098E12
Seat Occupy,9,1.53992692E12,1.53993098E12
Presentation,0,1.53992744E12,1.53992888E12
Seat Occupy,8,1.53992744E12,1.53993098E12
Sound,32,1.53992836E12,1.53992875E12
Sound,33,1.53992875E12,1.53992888E12
Seat Occupy,7,1.53992888E12,1.53993098E12
Sound,32,1.53992888E12,1.53992915E12
Presentation,0,1.53992901E12,1.54097641E12
Sound,33,1.53992915E12,1.53992928E12
Sound,32,1.53992928E12,1.53992954E12
Sound,33,1.53992954E12,1.53992967E12
Sound,32,1.53992967E12,1.53993032E12
Seat Occupy,3,1.53993032E12,1.53993085E12
Sound,33,1.53993032E12,1.54097641E12
Light,1,1.53993098E12,1.54097641E12
Light,2,1.53993098E12,1.54097641E12
Light,3,1.53993098E12,1.54097641E12
